2025-12-16 05:21:03.347 | INFO | [DB] PING_REQ received seq=1
2025-12-16 05:21:03.347 | INFO | [DB] PING_ACK sent seq=1 tick=35147559
2025-12-16 05:21:15.154 | INFO | [DB] DB_REGISTER_ACK sent seq=1
2025-12-16 05:21:22.123 | INFO | [DB] FindAccount loginId='test2' (len=5)
2025-12-16 05:21:22.123 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test2' LIMIT 1;
2025-12-16 05:21:22.124 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=1 exists=1
2025-12-16 05:21:46.772 | INFO | [DB] FindAccount loginId='test2' (len=5)
2025-12-16 05:21:46.772 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test2' LIMIT 1;
2025-12-16 05:21:46.773 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=2 exists=1
2025-12-16 05:21:53.499 | INFO | [DB] FindAccount loginId='test2' (len=5)
2025-12-16 05:21:53.499 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test2' LIMIT 1;
2025-12-16 05:21:53.500 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=3 exists=1
2025-12-16 05:22:02.291 | INFO | [DB] FindAccount loginId='test1' (len=5)
2025-12-16 05:22:02.291 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test1' LIMIT 1;
2025-12-16 05:22:02.292 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=4 exists=1
2025-12-16 05:22:02.307 | INFO | [DB] UpdateLastLogin success. accountId=5
2025-12-16 05:24:16.256 | INFO | [DBServer] MainServer disconnected
2025-12-16 05:28:43.131 | INFO | Logger init app=DBServer
2025-12-16 05:28:43.170 | INFO | [System] DBServer process started
2025-12-16 05:28:43.188 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 05:28:43.188 | INFO | [DBManager] DB initialized successfully.
2025-12-16 05:28:43.188 | INFO | [DBServer] DB Initialized
2025-12-16 05:28:43.188 | INFO | [DBWorker] Started
2025-12-16 05:28:43.189 | INFO | [DBServer] Listening on port 3600
2025-12-16 05:28:43.189 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-16 05:28:43.189 | INFO | [DB] Press Ctrl+C to stop.
2025-12-16 05:28:47.395 | INFO | [DBServer] MainServer connected
2025-12-16 05:28:47.395 | INFO | [DB] PING_REQ received seq=1
2025-12-16 05:28:47.396 | INFO | [DB] PING_ACK sent seq=1 tick=35611626
2025-12-16 05:28:55.898 | INFO | [DB] DB_REGISTER_ACK sent seq=1
2025-12-16 05:29:02.443 | INFO | [DB] FindAccount loginId='test' (len=4)
2025-12-16 05:29:02.444 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test' LIMIT 1;
2025-12-16 05:29:02.444 | INFO | [DB][SQL] no row for login_id='test'
2025-12-16 05:29:02.444 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=1 exists=0
2025-12-16 05:29:08.236 | INFO | [DB] FindAccount loginId='test2' (len=5)
2025-12-16 05:29:08.236 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test2' LIMIT 1;
2025-12-16 05:29:08.236 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=2 exists=1
2025-12-16 05:29:08.252 | INFO | [DB] UpdateLastLogin success. accountId=7
2025-12-16 05:29:36.425 | INFO | [DB] DB_REGISTER_ACK sent seq=2
2025-12-16 05:29:42.779 | INFO | [DB] FindAccount loginId='test2' (len=5)
2025-12-16 05:29:42.779 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test2' LIMIT 1;
2025-12-16 05:29:42.780 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=4 exists=1
2025-12-16 05:29:42.787 | INFO | [DB] UpdateLastLogin success. accountId=8
2025-12-16 05:29:46.926 | INFO | [DBServer] MainServer disconnected
2025-12-16 05:34:42.508 | INFO | Logger init app=DBServer
2025-12-16 05:34:42.547 | INFO | [System] DBServer process started
2025-12-16 05:34:42.565 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 05:34:42.565 | INFO | [DBManager] DB initialized successfully.
2025-12-16 05:34:42.565 | INFO | [DBServer] DB Initialized
2025-12-16 05:34:42.565 | INFO | [DBWorker] Started
2025-12-16 05:34:42.566 | INFO | [DBServer] Listening on port 3600
2025-12-16 05:34:42.566 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-16 05:34:42.566 | INFO | [DB] Press Ctrl+C to stop.
2025-12-16 05:34:46.487 | INFO | [DBServer] MainServer connected
2025-12-16 05:34:46.487 | INFO | [DB] PING_REQ received seq=1
2025-12-16 05:34:46.487 | INFO | [DB] PING_ACK sent seq=1 tick=35970732
2025-12-16 05:34:59.884 | INFO | [DBServer] MainServer disconnected
2025-12-16 05:51:03.969 | INFO | Logger init app=DBServer
2025-12-16 05:51:04.009 | INFO | [System] DBServer process started
2025-12-16 05:51:04.027 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 05:51:04.027 | INFO | [DBManager] DB initialized successfully.
2025-12-16 05:51:04.027 | INFO | [DBServer] DB Initialized
2025-12-16 05:51:04.027 | INFO | [DBWorker] Started
